Key,Id,Shared Comments,English(en),English(en) Comments,Polish(pl),Polish(pl) Comments
"Shop_Virus_PickupRange_Name",10728948658176,"","Pickup Range","","Zasięg podniesienia",""
"Shop_Virus_PickupRange_Description",10767406231552,"","Increases your and Unity-Chan's range of picking up any items
Level 1: +30% radius
Level 2: +60% radius
Level 3: +100% radius","","Zwiększa zasię podnoszenia przedmiotów przez ciebie i Unity-chan
Poziom 1: +30% promień
Poziom 2: +60% promień
Poziom 3: +100% promień",""
"Shop_Virus_ReloadSpeed_Name",10808288112640,"","Reload Speed","","Prędkość przeładowania",""
"Shop_Virus_ReloadSpeed_Description",10840009633792,"","Decresases your and Unity-Chan's time to reload weapons
Level 1: -10%
Level 2: -17,5%
Level 3: -25%","","Skraca czas przeładowania broni u ciebie i Unity-chan
Poziom 1: -10%
Poziom 2: -17,5%
Poziom 3: -25%",""
"Shop_Virus_RunSpeed_Name",10892245495808,"","Running Speed","","Szybkość ruchu",""
"Shop_Virus_RunSpeed_Description",10923111378944,"","Increases your and Unity-Chan's movement speed
Level 1: 10%
Level 2: 15%
Level 3: 20%","","Zwiększa twoją i Unity-chan prędkość poruszania się 
Poziom 1: 10%
Poziom 2: 15%
Poziom 3: 20%",""
"Shop_Virus_SpDropRate_Name",10956154105856,"","SP Drop Rate","","Szansa wypadnięcia SP",""
"Shop_Virus_SpDropRate_Description",10989033254912,"","Increases chance of dropping SP particles on enemies death.
Level 1: 25%
Level 2: 32%
Level 3: 40%","","Zwiększa szansę wypanięcia cząsteczek SP na śmierć przeciwników
Poziom 1: 25%
Poziom 2: 32%
Poziom 3: 40%",""
"Shop_Virus_StartIntegrity_Name",11021761409024,"","Start Integrity Boosters","","Początkowe Wzmacniacze Integralności",""
"Shop_Virus_StartIntegrity_Description",11048474931200,"","Integrity Boosters are special items you and Unity-Chan can use to heal. This upgrade adds extra Integrity Boosters at the start of level.
Level 1: 1 Integrity Boosters
Level 2: 2 Integrity Boosters
Level 3: 3 Integrity Boosters","","Wzmacniacze Integralności to specjalne przedmioty które ty i Unity-chan możecie użyć by się uzdrowić. To ulepszenie dodaje Wzmacniacze Integralności na początek poziomu.
Poziom 1: 1 Wzmacniacz Integralności
Poziom 2: 2 Wzmacniacze Integralności
Poziom 3: 3 Wzmacniacze Integralności",""
